Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Activity_ID",8D357EA2-1A86-45E5-5A18-0CFF0647E649,81,,20058712-A8C5-7441-6887-2EDD4F04ABF2,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Activity",P,,VARCHAR2,1,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Activity_ID",03EC57D3-F51B-D6F5-8988-929F0018752E,82,,DDE31130-F780-4FDC-0EC9-19709E82D46B,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Day_Activities",P,F,VARCHAR2,3,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Activity_Name",07D6B39C-D9C2-F11D-DD0C-C7709ACE39D8,83,,20058712-A8C5-7441-6887-2EDD4F04ABF2,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Activity",,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Address",16C01BB7-9695-EB78-05ED-D29499B70802,84,,5B40D33A-33F4-B0BC-020F-34C3369FC245,80,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Staff",,,VARCHAR2,4,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Address",7BB0DD93-E8D4-E8B0-04D0-4F0A4F153293,85,,A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Customer",,,VARCHAR2,4,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Customer_ID",64E1F140-DBD9-B6AD-5B82-D8B4C40317EF,86,,A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Customer",P,,VARCHAR2,1,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Customer_ID",CDCAFF05-40E7-6863-E108-66A86C886F49,87,,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Customer_Package",P,F,VARCHAR2,1,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Day",F75D799E-A6AB-2577-5373-5457C6DE6753,88,,D54A94E8-0830-3905-3268-1ECC14773FD6,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Itinerary",P,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Day",DD4D327E-1798-B722-1CBD-1CDEA2636862,89,,DDE31130-F780-4FDC-0EC9-19709E82D46B,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Day_Activities",P,F,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",50,,,
"Description",D42860B2-3E63-B3CD-5290-9144FF50C54F,90,,351409CE-4435-1D63-CB79-8A384A3A4F20,79,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Role",,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Destination",E0DFF922-E391-DFBA-1818-795327CAD064,91,,B10D0E95-8520-1810-7982-09E19B4FC946,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Destination",P,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Difficulty",FA2C2BBE-BEBC-03D9-BA0D-F124E08C4003,92,,78738502-EB23-35BC-D723-F05047915B97,78,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Packages",,,VARCHAR2,6,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"Difficulty_Level",5018D72D-A934-32E4-21C8-B268CED788C8,93,,D54A94E8-0830-3905-3268-1ECC14773FD6,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Itinerary",,,VARCHAR2,3,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"End_Date",494D930A-C93A-15C7-3C1F-96C478200EA0,94,,78738502-EB23-35BC-D723-F05047915B97,78,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Packages",,,DATE,5,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",,,,
"First_Name",FB9AEE53-6819-8CBF-02E4-3C63C7B57243,95,,5B40D33A-33F4-B0BC-020F-34C3369FC245,80,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Staff",,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
"First_Name",E0EDF3FF-8D3F-0B8F-81C5-684F25EBB9A3,96,,A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Customer",,,VARCHAR2,2,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,70,"course_work",250,,,
